No;Wind (m/s);Temp (°C);Stability;Rate In (kL/jam);Rate in (m3/s);T_eff (menit);Thickness (mm);Volume (m3);Area(m2);Zone Red (m);Zone orange (m);Zone yellow (m)
1;1.5;25;B;250;0.069444444;2;5;8.333333333;1666.666667;23;23;32
2;1.5;25;B;250;0.069444444;2;10;8.333333333;833.3333333;16;16;22
3;1.5;25;B;250;0.069444444;2;20;8.333333333;416.6666667;11;11;16
4;1.5;25;B;250;0.069444444;5;5;20.83333333;4166.666667;36;36;50
5;1.5;25;B;250;0.069444444;5;10;20.83333333;2083.333333;26;26;34
6;1.5;25;B;250;0.069444444;5;20;20.83333333;1041.666667;18;18;25
7;1.5;25;B;250;0.069444444;15;5;62.5;12500;63;63;83
8;1.5;25;B;250;0.069444444;15;10;62.5;6250;45;45;58
9;1.5;25;B;250;0.069444444;15;20;62.5;3125;31;32;42
10;1.5;25;B;250;0.069444444;30;5;125;25000;98;127;221
11;1.5;25;B;250;0.069444444;30;10;125;12500;70;91;159
12;1.5;25;B;250;0.069444444;30;20;125;6250;48;62;107
13;1.5;25;B;250;0.069444444;45;7;187.5;26785.71429;102;131;229
14;1.5;25;B;250;0.069444444;45;10;187.5;18750;86;111;193
15;1.5;25;B;250;0.069444444;45;20;187.5;9375;58;75;131
16;1.5;25;B;350;0.097222222;2;6;11.66666667;1944.444444;28;37;54
17;1.5;25;B;350;0.097222222;2;10;11.66666667;1166.666667;22;29;50
18;1.5;25;B;350;0.097222222;2;20;11.66666667;583.3333333;15;20;34
19;1.5;25;B;350;0.097222222;5;6;29.16666667;4861.111111;44;57;100
20;1.5;25;B;350;0.097222222;5;10;29.16666667;2916.666667;35;45;78
21;1.5;25;B;350;0.097222222;5;20;29.16666667;1458.333333;23;30;53
22;1.5;25;B;350;0.097222222;15;5;87.5;17500;82;107;186
23;1.5;25;B;350;0.097222222;15;10;87.5;8750;60;77;133
24;1.5;25;B;350;0.097222222;15;20;87.5;4375;40;52;90
25;1.5;25;B;350;0.097222222;30;6;175;29166.66667;105;136;238
26;1.5;25;B;350;0.097222222;30;10;175;17500;83;107;187
27;1.5;25;B;350;0.097222222;30;20;175;8750;56;72;127
28;1.5;25;B;350;0.097222222;45;8.50;262.5;30882.35294;109;141;246
29;1.5;25;B;350;0.097222222;45;10;262.5;26250;101;130;228
30;1.5;25;B;350;0.097222222;45;20;262.5;13125;68;88;154
31;1.5;25;B;550;0.152777778;2;6;18.33333333;3055.555556;36;45;80
32;1.5;25;B;550;0.152777778;2;10;18.33333333;1833.333333;28;36;63
33;1.5;25;B;550;0.152777778;2;20;18.33333333;916.6666667;19;24;42
34;1.5;25;B;550;0.152777778;5;5;45.83333333;9166.666667;60;78;135
35;1.5;25;B;550;0.152777778;5;10;45.83333333;4583.333333;44;56;97
36;1.5;25;B;550;0.152777778;5;20;45.83333333;2291.666667;30;38;66
37;1.5;25;B;550;0.152777778;15;5;137.5;27500;102;133;231
38;1.5;25;B;550;0.152777778;15;10;137.5;13750;74;96;166
39;1.5;25;B;550;0.152777778;15;20;137.5;6875;50;64;113
40;1.5;25;B;550;0.152777778;30;9;275;30555.55556;108;141;244
41;1.5;25;B;550;0.152777778;30;10;275;27500;103;133;233
42;1.5;25;B;550;0.152777778;30;20;275;13750;70;91;158
43;1.5;25;B;550;0.152777778;45;13.5;412.5;30555.55556;109;141;246
44;1.5;25;B;550;0.152777778;45;17;412.5;24264.70588;92;119;208
45;1.5;25;B;550;0.152777778;45;25;412.5;16500;77;99;173
46;1.5;25;D;250;0.069444444;2;5;8.333333333;1666.666667;28;36;63
47;1.5;25;D;250;0.069444444;2;10;8.333333333;833.3333333;19;25;43
48;1.5;25;D;250;0.069444444;2;20;8.333333333;416.6666667;14;18;31
49;1.5;25;D;250;0.069444444;5;5;20.83333333;4166.666667;42;54;94
50;1.5;25;D;250;0.069444444;5;10;20.83333333;2083.333333;30;39;67
51;1.5;25;D;250;0.069444444;5;20;20.83333333;1041.666667;22;28;49
52;1.5;25;D;250;0.069444444;15;5;62.5;12500;73;95;163
53;1.5;25;D;250;0.069444444;15;10;62.5;6250;50;65;114
54;1.5;25;D;250;0.069444444;15;20;62.5;3125;36;47;82
55;1.5;25;D;250;0.069444444;30;5;125;25000;99;128;225
56;1.5;25;D;250;0.069444444;30;10;125;12500;70;91;159
57;1.5;25;D;250;0.069444444;30;20;125;6250;51;66;114
58;1.5;25;D;250;0.069444444;45;6;187.5;31250;110;143;249
59;1.5;25;D;250;0.069444444;45;10;187.5;18750;86;111;194
60;1.5;25;D;250;0.069444444;45;20;187.5;9375;62;80;139
61;1.5;25;D;350;0.097222222;2;6;11.66666667;1944.444444;30;39;67
62;1.5;25;D;350;0.097222222;2;10;11.66666667;1166.666667;22;29;50
63;1.5;25;D;350;0.097222222;2;20;11.66666667;583.3333333;16;21;36
64;1.5;25;D;350;0.097222222;5;5.5;29.16666667;5303.030303;47;61;105
65;1.5;25;D;350;0.097222222;5;10;29.16666667;2916.666667;35;45;78
66;1.5;25;D;350;0.097222222;5;20;29.16666667;1458.333333;25;33;56
67;1.5;25;D;350;0.097222222;15;5;87.5;17500;86;111;191
68;1.5;25;D;350;0.097222222;15;10;87.5;8750;60;77;134
69;1.5;25;D;350;0.097222222;15;20;87.5;4375;43;55;96
70;1.5;25;D;350;0.097222222;30;6;175;29166.66667;107;138;241
71;1.5;25;D;350;0.097222222;30;10;175;17500;83;108;188
72;1.5;25;D;350;0.097222222;30;20;175;8750;60;77;135
73;1.5;25;D;350;0.097222222;45;8.5;262.5;30882.35294;109;141;247
74;1.5;25;D;350;0.097222222;45;15;262.5;17500;83;108;188
75;1.5;25;D;350;0.097222222;45;25;262.5;10500;66;85;148
76;1.5;25;D;550;0.152777778;2;6;18.33333333;3055.555556;37;48;83
77;1.5;25;D;550;0.152777778;2;10;18.33333333;1833.333333;28;36;63
78;1.5;25;D;550;0.152777778;2;20;18.33333333;916.6666667;20;26;45
79;1.5;25;D;550;0.152777778;5;5;45.83333333;9166.666667;63;81;141
80;1.5;25;D;550;0.152777778;5;10;45.83333333;4583.333333;44;56;98
81;1.5;25;D;550;0.152777778;5;20;45.83333333;2291.666667;31;41;70
82;1.5;25;D;550;0.152777778;15;5;137.5;27500;104;135;235
83;1.5;25;D;550;0.152777778;15;10;137.5;13750;74;96;167
84;1.5;25;D;550;0.152777778;15;20;137.5;6875;53;69;120
85;1.5;25;D;550;0.152777778;30;9;275;30555.55556;109;141;246
86;1.5;25;D;550;0.152777778;30;14;275;19642.85714;88;114;199
87;1.5;25;D;550;0.152777778;30;23;275;11956.52174;70;90;157
88;1.5;25;D;550;0.152777778;45;13.5;412.5;30555.55556;109;141;247
